ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
The Nail Company LLC*|*5839814*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
A4 Investigations, LLC*|*B20250144839*|*07/07/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3408 HACIENDA DRIVE*|**|*OCEANSIDE*|*CA*|*United States*|*92054*|*3408 HACIENDA DRIVE*|**|**|*OCEANSIDE*|*CA*|*United States*|*92054*|**|**|**|**|**|**|*One Manager*|*
Acute Medical Transportation LLC.*|*B20250150646*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1210 ALDER TREE WAY*|*378*|*SACRAMENTO*|*CA*|*United States*|*95831*|*PO BOX 221311*|**|**|*SACRAMENTO*|*CA*|*United States*|*95822*|**|**|**|**|**|**|*More Than One Manager*|*
Agave B. LLC*|*B20250151388*|*07/07/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*241 VERSAILLES PL*|**|*RIVERSIDE*|*CA*|*United States*|*92501*|*1132 S. GARFIELD AVENUE*|**|**|*ALHAMBRA*|*CA*|*United States*|*91801*|**|**|**|**|**|**|*All LLC Member(s)*|*
Algorithm Avionics, LLC*|*B20250089723*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251380808*|*Jun 30 2025  8:11AM*|*1741 DALE RUPERT RD.*|**|*CRESCENT CITY*|*CA*|*United States*|*95531*|*1465 AMADOR ST.*|**|**|*CRESCENT CITY*|*CA*|*United States*|*95531*|**|**|**|**|**|**|*One Manager*|*Performs inspections and maintenance on certificated aircraft registered
Architectural Imperium Wealth, LLC*|*B20250145153*|*07/07/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1096 AMBERTON LN*|**|*NEWBURY PARK*|*CA*|*United States*|*91320*|*P.O. BOX 19121*|**|*ARCHITECTURAL IMPERIUM WEALTH, LLC*|*NEWBURY PARK*|*CA*|*United States*|*91319*|**|**|**|**|**|**|*One Manager*|*
Beiyit*|*B20250138889*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*20 SANTA FE*|**|*RANCHO SANTA MARGARITA*|*CA*|*United States*|*92688*|*20 SANTA FE*|**|**|*RANCHO SANTA MARGARITA*|*CA*|*United States*|*92688*|**|**|**|**|**|**|**|*
Blitz Brigade Collectibles LLC*|*B20250147570*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2108 N ST*|*N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*1050 W ALAMEDA AVE*|**|*#115*|*BURBANK*|*CA*|*United States*|*91506*|**|**|**|**|**|**|*More Than One Manager*|*
BridgEdPsych, LLC*|*B20250087350*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251418146*|*Jul  6 2025  1:44PM*|*6150 13TH ST*|**|*SACRAMENTO*|*CA*|*United States*|*95831*|*PO BOX 22944*|**|**|*SACRAMENTO*|*CA*|*United States*|*95831*|**|**|**|**|**|**|*One Manager*|*Educational psychology services
Casa Incognito*|*B20250144989*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2222 FRANCISCO DR*|*STE 220 #190*|*EL DORADO HILLS*|*CA*|*United States*|*95762*|*2222 FRANCISCO DR*|*STE 220 #190*|**|*EL DORADO HILLS*|*CA*|*United States*|*95762*|**|**|**|**|**|**|**|*
CertiClean Lab LLC*|*B20250102082*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*7858 ARBOR CIR*|**|*HUNTINGTON BEACH*|*CA*|*United States*|*92647*|*7858 ARBOR CIR*|**|**|*HUNTINGTON BEACH*|*CA*|*United States*|*92647*|**|**|**|**|**|**|*All LLC Member(s)*|*
CNC Construction & Design Inc.*|*B20250135980*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251393733*|*Jul  1 2025 10:44AM*|*17215 GRAYLAND AVE*|**|*CERRITOS*|*CA*|*United States*|*90703*|*17215 GRAYLAND AVE*|**|**|*CERRITOS*|*CA*|*United States*|*90703*|**|**|**|**|**|**|**|*Design and remodeling
Collaborative Roots LLC*|*B20250074084*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2204 E LIZBETH AVE*|**|*ANAHEIM*|*CA*|*United States*|*92806-4622*|*2204 E LIZBETH AVE*|**|**|*ANAHEIM*|*CA*|*United States*|*92806-4622*|**|**|**|**|**|**|*All LLC Member(s)*|*
CompGuard Law, A Professional Law Corporation*|*B20250136823*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251395110*|*Jul  1 2025 12:15PM*|*1212 NOLITA*|**|*IRVINE*|*CA*|*United States*|*92612*|*1212 NOLITA*|**|**|*IRVINE*|*CA*|*United States*|*92612*|*1212 NOLITA*|**|*IRVINE*|*CA*|*United States*|*92612*|**|*PRACTICE AT LAW
Crillon LLC*|*B20250093103*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4851 KOKOMO DRIVE*|*APT 6322*|*SACRAMENTO*|*CA*|*United States*|*95835*|*4851 KOKOMO DRIVE*|*APT 6322*|**|*SACRAMENTO*|*CA*|*United States*|*95835*|**|**|**|**|**|**|*One Manager*|*
DEBAZ GLASS*|*B20250128804*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1585 N. 4TH STREET*|*UNIT #A*|*SAN JOSE*|*CA*|*United States*|*95112*|*1585 N. 4TH STREET*|*UNIT #A*|**|*SAN JOSE*|*CA*|*United States*|*95112*|**|**|**|**|**|**|**|*
Diadem 7 Educational Consulting LLC*|*B20250125545*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251393138*|*Jul  1 2025 10:03AM*|*29114 HAWTHORN*|**|*LAKE ELSINORE*|*CA*|*United States*|*92530*|*29114 HAWTHORN*|**|**|*LAKE ELSINORE*|*CA*|*United States*|*92530*|*29114 HAWTHORN*|**|*LAKE ELSINORE*|*CA*|*United States*|*92530*|*One Manager*|*Educational Consulting
Dixie Durkton Bookkeeping & Property Management Inc.*|*B20250150479*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251401113*|*Jul  2 2025  8:56AM*|*16960 MORSE RD*|**|*DESERT HOT SPRINGS*|*CA*|*United States*|*92241*|*16960 MORSE RD*|**|**|*DESERT HOT SPRINGS*|*CA*|*United States*|*92241*|*16960 MORSE RD*|**|*DESERT HOT SPRINGS*|*CA*|*United States*|*92241*|**|*Bookkeeping and Property Management Services
Doberman House L.L.C.*|*B20250072368*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1257W 24TH ST*|**|*LOS ANGELES*|*CA*|*United States*|*90007*|*1257W 24TH ST*|**|**|*LOS ANGELES*|*CA*|*United States*|*90007*|**|**|**|**|**|**|*All LLC Member(s)*|*
Expo investment, LLC*|*B20250142530*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*12087 LOPEZ CANYON RD*|*STE 140*|*SYLMAR*|*CA*|*United States*|*91342*|*12087 LOPEZ CANYON RD*|*STE 140*|**|*SYLMAR*|*CA*|*United States*|*91342*|**|**|**|**|**|**|*One Manager*|*
F12 Ops Solutions LLC*|*B20250147803*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*751 S WEIR CANYON RD STE 157-742*|**|*ANAHEIM*|*CA*|*United States*|*92808*|*751 S WEIR CANYON RD STE 157-742*|**|**|*ANAHEIM*|*CA*|*United States*|*92808*|**|**|**|**|**|**|*One Manager*|*
